ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty,Language,Region,Product,PresenterContent,ContentSlide,JeopardyBoard,JeopardyQuestion1,JeopardyQuestion2,JeopardyQuestion3,JeopardyQuestion4,JeopardyCorrect,Reserved8,Reserved9,Reserved10,Reserved11,Reserved12,Reserved13,Reserved14,Reserved15
120,6-501.111,What is typically the first sign of a pest infestation in a food facility?,Strong food odors coming from storage areas,"Droppings, gnaw marks, or nesting materials",High humidity levels in the building,Unusual sounds near walls or equipment,2,Pest Management,Identification,"Droppings, gnaw marks, and nesting materials are the most common early physical signs of pest activity and indicate an infestation requiring immediate action.",0,2,English,US,SafePrep,D,0,1,What should you do if a handwashing sink is blocked or being used for something else?,If a prep sink is blocked?,If a warewashing sink is blocked?,If a mop sink is blocked?,1,,,,,,,,
121,6-501.112,What should you do if pests are discovered in the facility?,Contact a licensed pest control operator,Close the entire operation immediately,Set traps yourself using store-bought products,Increase cleaning frequency and monitor the situation,1,Pest Management,Response,A licensed pest control operator has the training and approved chemicals to safely and effectively address infestations in a food service environment.,0,2,English,US,SafePrep,D,0,1,What is the primary method for preventing pests from entering a food facility?,For eliminating existing pests?,For monitoring pests?,For documenting pests?,1,,,,,,,,
122,2-102.11,What is a manager's responsibility regarding food handler illness reporting?,Monitor employees and reassess symptoms after one hour,Allow sick employees to work with gloves if symptoms are mild,Let employees decide whether their symptoms require reporting,Establish clear reporting procedures and take action when symptoms are reported,4,Food Safety Management,Systems,"Managers are responsible for creating and enforcing illness reporting policies and must take appropriate action, such as exclusion, when staff report symptoms.",0,3,English,US,SafePrep,D,0,1,What is typically the first sign of a pest infestation in a food facility?,Of equipment failure?,Of staff problems?,Of supplier issues?,1,,,,,,,,
123,2-103.11,What is a manager's ongoing role in food safety training?,Ensure all staff understand and consistently follow food safety procedures,Conduct a single comprehensive training session each year,Administer written tests and file the results,Provide training only to newly hired employees,1,Food Safety Management,Training,"Managers must ensure all staff understand and consistently apply food safety procedures. This is an ongoing responsibility, not limited to new hire orientation.",0,2,English,US,SafePrep,D,0,1,What should you do if pests are discovered in the facility?,If equipment fails?,If staff are sick?,If suppliers are late?,1,,,,,,,,
124,2-103.11,What is the purpose of active managerial control?,To proactively identify and prevent food safety risks before illness occurs,To reduce the time spent on food safety training,To respond quickly and effectively after a foodborne illness occurs,To document employee behavior for performance reviews,1,Food Safety Management,Control,"Active managerial control means identifying and addressing food safety risks before they cause illness, rather than responding only after a problem occurs.",0,3,English,US,SafePrep,D,0,1,What is a manager's responsibility regarding food handler illness reporting?,Regarding training?,Regarding scheduling?,Regarding inventory?,1,,,,,,,,
125,2-103.11,What is a critical control point (CCP) in a HACCP system?,A guideline for safe storage temperatures,An optional quality check that can be skipped when busy,A cleaning schedule used during inspections,"A step in the food handling process where a hazard can be prevented, eliminated, or reduced to a safe level",4,Food Safety Management,HACCP,"A critical control point is a specific step in food handling where a food safety hazard can be prevented, eliminated, or reduced to a safe level.",0,2,English,US,SafePrep,D,0,1,What is a manager's ongoing role in food safety training?,In financial training?,In customer service training?,In sales training?,1,,,,,,,,
126,3-401.14,Which is an example of food tampering?,Missing protective seal,Crushed package,Employees handling food without wearing gloves,Frozen burgers cooked on the grill,1,Time & Temperature,Thawing,It is acceptable to thaw food as part of the cooking process. Frozen burgers cooked directly on the grill move quickly through the danger zone.,1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
127,2-901.11,Surfaces that retain their condition after repeated use are considered what?,Expensive,Durable,Almost new,Coving,2,Food Safety Management,Food Defense,"A durable surface retains its original condition after repeated use and cleaning, making it easier to sanitize and maintain food safety.",1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
128,4-101.11,An employee is not sure when to clean the shelves in the walk-in. What should they do?,Ask a coworker,Just clean it,Wait until told to do so,Refer to the master cleaning chart,4,Facility & Equipment,Materials,"When unsure of cleaning frequency, employees should refer to the master cleaning schedule, which outlines what to clean, how often, and who is responsible.",1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
129,4-602.11,What should the manager do if they feel a delivered product was not honestly presented?,Assume it is okay since it was delivered,Reject it,Call the FDA,Check the master cleaning schedule,2,Facility & Equipment,Cleaning Schedule,"Food that appears altered, mislabeled, or tampered with should be rejected to protect against intentional contamination.",1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
130,3-601.12,An employee put on new gloves and went to the walk-in for more product. Do they need to change gloves before finishing prep?,"Yes, since they will probably touch something",Only if the gloves got torn or dirty,No,"Yes, any task that is non-food related requires the changing of gloves before starting a food related task",4,Receiving & Storage,Receiving,Gloves must be changed whenever they may have touched a contaminated surface such as a door handle. Going to the walk-in is a non-food task requiring a glove change before returning to food prep.,1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
131,3-304.15,Two employees like to smoke. Where should they do this?,In the designated smoking area,Out of the view of customers,100 feet from the building,Where they cant be seen,1,Food Preparation,Contamination,Smoking is only allowed in the designated smoking area to prevent contamination of hands and clothing.,1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
132,2-401.11,What is a food defense plan?,A plan that keeps employees from cross-contaminating,A plan to keep food at the correct temperature,A plan that minimizes the risk of intentional contamination,The instructional document that creates a food-safety culture,3,Personal Hygiene,Smoking,A food defense plan outlines steps to prevent intentional contamination from receiving through service.,1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
133,2-901.11,When should plans for a new location be submitted to the appropriate agency?,Within 30 days after opening,After being inspected by the health department,Prior to the first opening day,The master training plan for kitchen employees,3,Food Safety Management,Food Defense,Plans and specifications must be submitted and approved before opening to ensure compliance with local health codes.,1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
134,8-302.11,Why do employees wear hair restraints?,They help keep hair in place,They are a barrier against oily hair,They are part of the uniform,To look good,2,Facility & Equipment,Plan Review,"Hair restraints prevent hair from falling into food or onto food-contact surfaces, reducing the risk of physical contamination.",1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
135,2-402.11,Cooking rice at this restaurant is essential. Therefore it must what?,Be cooked to 135°F,Be cooked less but more often,Be cooked in large batches,Thrown out every 2 hours so fresh product is always in use,1,Cross-Contamination,General,Grains and vegetables cooked for hot holding must reach at least 135°F to prevent bacterial growth in the temperature danger zone.,1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
136,3-401.11,Which of these tasks is food safety approved?,Adding water to a chemical bottle,Using a bus tub to hold dirty dishes,Using a sanitizer bucket to hold degreaser,Using a double boiler to cook soup,2,Food Preparation,Cooking,"Using a bus tub to hold dirty dishes is food safety approved because it keeps contaminated dishes contained. Adding water to a chemical bottle, mixing chemicals, or using a sanitizer bucket for other purposes are all unsafe practices.",1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
137,3-401.11,Which practice reduces pathogens in food?,Cooking food to the correct temperature,Wearing gloves,Storing food in airtight containers,sanitizing hands instead of using soap,1,Time & Temperature,Cooking,Only proper cooking reduces pathogens; gloves and containers prevent contamination but do not kill bacteria.,1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
138,5-501.13,Are there requirements for an outside dumpster?,They just need the lid closed,They must be clean and pest free,They must be yellow with a side access door,Kept behind a gate,2,Facility & Equipment,Waste Management,"Dumpsters must be durable, nonabsorbent, and have tight-fitting lids. They must be kept covered when not in use and placed on a smooth nonabsorbent surface to prevent pest harborage.",1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
139,3-801.11,"A nursing home orders sandwiches with tuna, which has wheat bread, raw sprouts and a vinaigrette dressing are there any concerns?",Wheat is a known allergen,Susceptible populations should not be served raw product,"The vinaigrette has two main ingredients, they could possibly have an allegen",There are no concerns,1,Food Preparation,High-Risk Populations,Raw sprouts should not be served to high-risk groups because they are frequently linked to foodborne illness. Wheat is a known allergen and the vinaigrette may contain allergens as well.,1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
140,3-602.11,Which is not a major food allergen?,Milk,Tree nuts,Rice,Soy beans,3,Cross-Contamination,Allergens,"Rice is not one of the nine major allergens. The nine major allergens are milk, eggs, fish, shellfish, tree nuts, peanuts, wheat, soybeans, and sesame.",1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
141,2-103.11,Three people got sick eating the same food at the same restaurant on the same day. Is this an outbreak?,No,Yes two or more people are considered an outbreak,Yes even if one person gets sick its considered an outbreak,"No, it needs to be differen people on different days",2,Food Safety Management,Outbreak,An outbreak is defined as two or more people experiencing the same illness after eating the same food. Three people getting sick from the same food at the same restaurant qualifies as an outbreak.,1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
142,3-501.16,When delivering a TCS food how should hot food be transported?,Hot food cannot be transported,"In the trunk, its hotter in there",In an insulated container,Just deliver a short distance and the food will remain above 135 degrees,3,Time & Temperature,Hot Holding,"An insulated container will keep hot food above 135°F during transport, preventing it from entering the temperature danger zone.",1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
143,3-501.14,What is the first step in cooling a large roast?,Cut it into smaller pieces,Run it under cold water,Put it in the walk-in but cover it,Put it in the freezer for 20 minutes,1,Food Preparation,Cooling,"Cutting large pieces of meat into smaller pieces increases surface area and allows the product to cool faster, helping meet the 2-hour and 6-hour cooling requirements.",1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
144,2-103.11,"When training an employee on food safety, as a manager you should?",Have the employee explain the procedures,Give the employee your undivided attention for at least 2 days,Demonstrate the procedure,Give immediate feedback,4,Food Safety Management,Training,ServSafe considers providing immediate and specific feedback the best response when training employees  -  it reinforces correct behavior right away before bad habits form.,1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
145,6-303.11,The FDA code states the minimum lighting standard for food prep is:?,100 lumens,50 Lumens,There is no minimum,75 Lumens,2,Facility & Equipment,Lighting,The FDA Food Code requires a minimum of 50 foot-candles of lighting in food preparation areas to ensure food handlers can work safely and accurately.,1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
146,3-202.11,When you get a food recall notice what is the first thing you should do?,Let all customers know,Throw it away,Immediately remove the food from service,Close down the store,3,Food Safety Management,Food Defense,"When a food recall notice is received, the first step is to immediately remove the recalled food from service to prevent it from reaching customers and causing a foodborne illness.",1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
147,3-501.17,An RTE (Ready-To-Eat) food must be date marked for how many hours if not served immediately?,24 hours in the refrigerator,12 hours in the refrigerator,"Tossed, if not served right away",4 Hours,1,Receiving & Storage,Date Marking,"While 4 hours is the time-temperature limit for TCS food, the correct ServSafe answer is to date mark RTE food for 24 hours and refrigerate it if not served immediately.",1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
148,3-304.14,Where must sanitizing towels be stored?,Away from chemicals,Only in food prep areas,By the dish washing sink,In sanitizer solution,4,Cleaning & Sanitizing,Sanitizer Use,"Sanitizing towels must be stored in sanitizer solution when not in use. Leaving them out allows the sanitizer to evaporate, making them ineffective.",1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
149,7-101.11,Any chemical in the operation must:?,Be part of the master cleaning plan,Have a safety data sheet,Be given a critical control point (CCP),Only be accessible to managers,2,Cleaning & Sanitizing,Chemical Safety,Every chemical used in a food operation must have a Safety Data Sheet (SDS) that is easily accessible to all employees at all times.,1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
150,7-102.11,Safety Data Sheets include:?,Warranty information,The type of bottle to store it in,Personal Protective Equipment (PPE),Allergens,3,Cleaning & Sanitizing,Chemical Safety,Safety Data Sheets are safety and proper usage documents. They include Personal Protective Equipment (PPE) requirements to ensure employees handle chemicals safely.,1,2,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
151,2-301.14,"Since Vaping became more popular, what should employees do after they vape?",Wash hands,Put the vape pen away,Apply a sanitizer before returning to work,Use hand sanitizer instead of washing hands,1,Personal Hygiene,Handwashing,Vaping is a non-food task. Employees must wash their hands before returning to food handling duties  -  hand sanitizer alone is not an acceptable substitute.,1,1,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
152,4-602.11,Utensils for service must be cleaned and sanitized:?,Every 6 hours,Every 4 hours,They just need to be cleaned once a day or when dirty,No need just throw them away,2,Cleaning & Sanitizing,Utensil Storage,In-use utensils and food contact surfaces must be cleaned and sanitized at least every 4 hours during continuous use to prevent bacterial growth.,1,1,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
153,2-501.11,"A customer vomits in the Dining room, what needs to happen first?",Disinfect with sanitizer,Call the health department,Get the customer help,Immediately isolate the area,4,Food Safety Management,Response,ServSafe treats vomit as a potential norovirus hazard. The area must be immediately isolated before any cleanup or other steps are taken to prevent cross-contamination.,1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
154,5-202.13,What is an Air Gap?,The gap between the drain pipe and the floor drain,The distance between the sink and the drain,A device that keeps flies from entering the cooler when the door opens,The depth of the floor drain,1,Facility & Equipment,Plumbing,An air gap is the space between a drain pipe and the flood rim of a drain. It prevents backflow contamination by ensuring contaminated water cannot siphon back into the potable water supply.,1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
155,5-202.14,What is a cross connection?,When two pipes are connected together,When raw food come in contact with ready-to-eat food,A direct link between safe and unsafe water,When there are two paths for water to flow(like sprayer and spout using the same pipe to get water),3,Facility & Equipment,Plumbing,A cross connection is a direct link between a safe drinking water supply and a contaminated source. Backflow prevention devices such as air gaps or check valves are used to prevent them.,1,3,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
156,4-601.11,Floors shelves and walls must be cleaned?,As needed,Once a day,As directed,Monthly,1,Facility & Equipment,Cleaning Schedule,"Floors, shelves, and walls must be cleaned as needed. Floors may require cleaning multiple times per day while shelves and walls may only need it weekly or monthly depending on use.",1,1,English,US,SafePrep,C,1,0,,,,,,,,,,,,,
158,FC-101,What is a foodborne illness?,An illness caused by eating food contaminated with a harmful substance,An illness caused by eating spoiled fruit,Any illness contracted in a restaurant,An illness caused by undercooking vegetables,1,Food Safety Foundations,Core Concepts,"A foodborne illness is caused by consuming food contaminated with pathogens, toxins, or harmful chemicals.",1,1,English,US,SafePrep,,0,1,What is a foodborne illness?,What is a foodborne outbreak?,What is food poisoning?,What is contamination?,1,,,,,,,,
159,FC-102,What is a foodborne illness outbreak?,When one person gets sick from a restaurant meal,When 2 or more people get the same illness from the same food at the same place,When a food product is recalled by the manufacturer,When a health inspector shuts down a restaurant,2,Food Safety Foundations,Core Concepts,A foodborne illness outbreak is defined as 2 or more people experiencing the same illness from the same food source at the same location.,1,1,English,US,SafePrep,,0,1,What is a foodborne illness outbreak?,What is a single case of foodborne illness?,What is a food recall?,What is a health code violation?,1,,,,,,,,
160,FC-103,What is a pathogen?,A chemical found in cleaning products,A physical object found in food,A harmful microorganism that can cause illness,A naturally occurring food allergen,3,Food Safety Foundations,Core Concepts,"A pathogen is a harmful microorganism — including bacteria, viruses, parasites, and fungi — capable of causing foodborne illness.",1,1,English,US,SafePrep,,0,1,What is a pathogen?,What is a contaminant?,What is a toxin?,What is an allergen?,1,,,,,,,,
161,FC-104,What are the three types of food contamination?,"Chemical, physical, and biological","Bacterial, viral, and fungal","Direct, indirect, and environmental","Thermal, chemical, and microbial",1,Food Safety Foundations,Contamination,"The three types of contamination are biological (pathogens), chemical (cleaning agents, pesticides), and physical (bones, glass, metal).",1,2,English,US,SafePrep,,0,1,What are the three types of food contamination?,What are the three main pathogens?,What are the three handwashing rules?,What are the three modes of HACCP?,1,,,,,,,,
162,FC-105,What does TCS stand for?,Temperature Controlled Storage,Time and Temperature Control for Safety,Toxic Chemical Substance,Total Contamination Score,2,Food Safety Foundations,TCS Foods,TCS stands for Time and Temperature Control for Safety — foods that require strict time and temperature management to prevent pathogen growth.,1,1,English,US,SafePrep,,1,1,What does TCS stand for?,What does HACCP stand for?,What does FIFO stand for?,What does YOPI stand for?,1,,,,,,,,
163,FC-106,What is the temperature danger zone?,32°F to 100°F,40°F to 140°F,41°F to 135°F,45°F to 130°F,3,Food Safety Foundations,Temperature,The temperature danger zone is 41°F to 135°F — the range where pathogens grow most rapidly in TCS foods.,1,1,English,US,SafePrep,,1,1,What is the temperature danger zone?,What is the rapid growth zone?,What is the cold holding range?,What is the hot holding range?,1,,,,,,,,
164,FC-107,What does FATTOM stand for?,"Food, Acidity, Temperature, Time, Oxygen, Moisture","Fat, Acid, Toxins, Temperature, Organisms, Moisture","Food, Alkalinity, Time, Temperature, Oxygen, Microbes","Fungus, Acidity, Temperature, Toxins, Oxygen, Moisture",1,Food Safety Foundations,FATTOM,"FATTOM describes the six conditions bacteria need to grow: Food, Acidity, Temperature, Time, Oxygen, and Moisture.",1,1,English,US,SafePrep,,1,1,What does FATTOM stand for?,What does HACCP stand for?,What does FIFO stand for?,What does TCS stand for?,1,,,,,,,,
165,FC-108,What is cross contamination?,Mixing two different types of chemicals,Leaving food in the temperature danger zone too long,When pathogens transfer from one food or surface to another,Serving food past its use-by date,3,Food Safety Foundations,Contamination,"Cross contamination occurs when harmful microorganisms are transferred from one food, surface, or person to another — the leading cause of foodborne illness.",1,1,English,US,SafePrep,,1,1,What is cross contamination?,What is time-temperature abuse?,What is sanitizing?,What is backflow?,1,,,,,,,,
166,FC-109,What is the difference between cleaning and sanitizing?,"Cleaning uses heat, sanitizing uses chemicals",Cleaning removes dirt; sanitizing reduces pathogens to safe levels,They are the same process with different names,Sanitizing removes dirt; cleaning reduces pathogens,2,Food Safety Foundations,Cleaning & Sanitizing,Cleaning removes visible dirt and food debris. Sanitizing reduces pathogens to safe levels. Both steps are required — you must clean before you sanitize.,1,1,English,US,SafePrep,,1,1,What is the difference between cleaning and sanitizing?,Between scrubbing and rinsing?,Between wiping and drying?,Between washing and storing?,1,,,,,,,,
167,FC-110,Which populations are considered high-risk for foodborne illness (YOPI)?,"Athletes, travelers, and pregnant women","Young children, older adults, pregnant women, and immunocompromised individuals","Elderly adults, infants, and food service workers","Diabetics, vegans, and young adults",2,Food Safety Foundations,High Risk Populations,"YOPI stands for Young children, Older adults, Pregnant women, and Immunocompromised individuals — populations most vulnerable to foodborne illness.",1,1,English,US,SafePrep,,1,1,Which populations are considered high-risk for foodborne illness?,Which populations need extra hygiene?,Which populations need allergen warnings?,Which populations need vegan menus?,1,,,,,,,,
168,FC-111,What is the rapid bacterial growth zone within the temperature danger zone?,41°F to 135°F,32°F to 70°F,70°F to 125°F,100°F to 165°F,3,Food Safety Foundations,Temperature,"While the danger zone is 41°F to 135°F, bacteria multiply most rapidly between 70°F and 125°F.",0,2,English,US,SafePrep,,0,1,What is the rapid bacterial growth zone within the temperature danger zone?,What is the full danger zone?,What is the cold holding zone?,What is the hot holding zone?,1,,,,,,,,
169,FC-112,A TCS food held at 41°F or below must be used or discarded within how many days?,3 days,5 days,10 days,7 days,4,Food Safety Foundations,TCS Foods,Any TCS food held at 41°F or below must be date-marked and used or discarded within 7 days. Day 1 is the day the food was prepared or opened.,1,1,English,US,SafePrep,,0,1,How many days can TCS food held at 41°F or below be used or discarded within?,How long for shellfish tags?,How long for HACCP records?,How long for invoices?,1,,,,,,,,
170,FC-201,Which of the Big Five pathogens is linked to ground beef and cattle intestines?,Norovirus,Shigella spp.,Hepatitis A,E. coli (EHEC),4,Pathogens,Big Five,E. coli (EHEC) is associated with cattle intestines and commonly linked to undercooked ground beef and contaminated produce. Cook ground beef to 155°F.,1,1,English,US,SafePrep,,0,1,Which of the Big Five pathogens is linked to ground beef and cattle intestines?,Which is linked to shellfish?,Which is linked to poultry?,Which is linked to dairy?,1,,,,,,,,
171,FC-202,What visible symptom of Hepatitis A requires immediate employee exclusion?,Vomiting,Jaundice,Diarrhea,Skin rash,2,Pathogens,Big Five,Jaundice — yellowing of the skin and eyes — is a visible symptom of Hepatitis A. Any employee showing jaundice must be excluded immediately.,1,1,English,US,SafePrep,,0,1,What visible symptom of Hepatitis A requires immediate employee exclusion?,What symptom of Norovirus?,What symptom of Salmonella?,What symptom of Shigella?,1,,,,,,,,
172,FC-203,What must all Big Five-diagnosed employees provide before returning to work?,24 hours symptom-free,A negative test result,A doctor's release,Manager approval,3,Pathogens,Big Five,Employees diagnosed with any of the Big Five pathogens must obtain a doctor's release before returning to work — they cannot self-clear.,1,1,English,US,SafePrep,,0,1,What must all Big Five-diagnosed employees provide before returning to work?,What must they provide on hire?,What must they provide annually?,What must they provide after a break?,1,,,,,,,,
173,FC-204,"Unlike bacteria, viruses cannot be eliminated by what method?",Sanitizing surfaces,Handwashing,Cooking,Refrigeration,3,Pathogens,Viruses,Viruses cannot be destroyed by cooking — unlike bacteria. They require a living host to reproduce and spread primarily through person-to-person contact.,1,1,English,US,SafePrep,,0,1,"Unlike bacteria, what method cannot eliminate viruses?",What cannot eliminate parasites?,What cannot eliminate fungi?,What cannot eliminate biological toxins?,1,,,,,,,,
174,FC-205,Which statement about bacteria and oxygen is FALSE?,Most bacteria require oxygen to grow,Some bacteria can grow without oxygen,All bacteria require oxygen to grow,Anaerobic bacteria grow without oxygen,3,Pathogens,Bacteria,"The statement ""all bacteria require oxygen"" is FALSE. Most bacteria are aerobic, but anaerobic bacteria grow without oxygen.",1,1,English,US,SafePrep,,0,1,Which statement about bacteria and oxygen is false?,Which about bacteria and moisture?,Which about bacteria and temperature?,Which about bacteria and food?,1,,,,,,,,
175,FC-206,Which pathogen type requires a living host and is associated with contaminated irrigation water and wild game?,Bacteria,Virus,Fungi,Parasite,4,Pathogens,Parasites,"Parasites require a living host to survive. They are commonly found in contaminated water, wild game, seafood, and produce irrigated with contaminated water.",1,1,English,US,SafePrep,,0,1,Which pathogen type requires a living host and is associated with wild game?,Which is associated with dairy?,Which is associated with shellfish?,Which is associated with eggs?,1,,,,,,,,
176,FC-207,What is the primary way to prevent Shigella contamination besides handwashing?,Cooking to proper temperature,Pest (fly) control,Purchasing from approved suppliers,Date marking all TCS foods,2,Pathogens,Big Five,"Shigella spreads through human feces and flies. In addition to handwashing, controlling flies through an IPM program is the primary prevention method.",1,1,English,US,SafePrep,,0,1,What is the primary way to prevent Shigella contamination besides handwashing?,To prevent Norovirus?,To prevent E. coli?,To prevent Hepatitis A?,1,,,,,,,,
177,FC-208,Mold toxins make moldy food unsafe even after cooking because they,Grow deeper into the food after heat is applied,Cannot be destroyed by temperature,Multiply rapidly after refrigeration,Require oxygen to produce toxins after cooling,2,Pathogens,Fungi,Mold toxins (mycotoxins) are heat-stable and cannot be destroyed by cooking. Moldy food must be discarded entirely.,1,1,English,US,SafePrep,,0,1,Why are mold toxins unsafe even after cooking?,Why are bacterial toxins?,Why are viral particles?,Why are parasites?,1,,,,,,,,
178,FC-209,What is the best defense against biological toxins from mushrooms and fish?,Cooking to 165°F,Holding at 41°F or below,Purchasing from an approved reputable supplier,Date marking and discarding after 7 days,3,Pathogens,Biological Toxins,"Biological toxins from mushrooms, fish, and plants cannot be destroyed by temperature. Purchasing from approved suppliers is the primary defense.",1,1,English,US,SafePrep,,0,1,What is the best defense against biological toxins from mushrooms and fish?,Best defense against bacterial toxins?,Best defense against viruses?,Best defense against parasites?,1,,,,,,,,
179,FC-210,Which Big Five pathogen is highly contagious and linked to RTE foods and contaminated shellfish?,Salmonella Typhi,E. coli (EHEC),Shigella spp.,Norovirus,4,Pathogens,Big Five,"Norovirus is highly contagious, spreading via the oral-fecal route. It is linked to RTE foods and shellfish from contaminated water.",1,1,English,US,SafePrep,,0,1,Which Big Five pathogen is highly contagious and linked to RTE foods and contaminated shellfish?,Which is linked to ground beef?,Which is linked to poultry?,Which is linked to fresh produce?,1,,,,,,,,
180,FC-211,What type of pathogen includes molds and yeasts and primarily spoils food?,Bacteria,Virus,Parasite,Fungi,4,Pathogens,Fungi,"Fungi — including molds and yeasts — primarily spoil food. However, some molds produce toxins (mycotoxins) that can cause serious illness.",0,2,English,US,SafePrep,,0,1,What type of pathogen includes molds and yeasts and primarily spoils food?,What type includes viruses?,What type includes parasites?,What type includes biological toxins?,1,,,,,,,,
181,FC-212,The safest way to reduce E. coli risk according to the ServSafe exam is,Cook ground beef to 155°F,Wash hands before handling beef,Purchasing from an approved reputable supplier,Sanitize surfaces between uses,3,Pathogens,Big Five,"While cooking and handwashing are important, purchasing from an approved reputable supplier is the ServSafe exam's preferred answer for reducing E. coli risk.",1,2,English,US,SafePrep,,0,1,"According to the ServSafe exam, what is the safest way to reduce E. coli risk?",Safest way to prevent Norovirus?,Safest way to prevent parasites?,Safest way to prevent mold?,1,,,,,,,,
